sample;annotation
сосиски грудак с собаик;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 16, 'O'), (17, 23, 'O')]
хеи золмри товибе;[(0, 3, 'O'), (4, 10, 'O'), (11, 17, 'O')]
Зоневв кация изюмом;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 19, 'O')]
Зоду тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
хефама бемаса;[(0, 6, 'O'), (7, 13, 'O')]
колбаса из семье;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
мука в аджике;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
Мабе ноый;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
перловка по собак изюмом;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O'), (18, 24, 'O')]
кофе с завтрак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
лапшф на изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
сосикси из собаки;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
колбаса на собаи;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
булочки яиле;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
курица для чесноком аджике;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O'), (20, 26, 'O')]
макароны фермерский на шашлыка;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 22, 'O'), (23, 30, 'O')]
сых;[(0, 3, 'B-TYPE')]
сыр с перцем отрубжми;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O'), (13, 21, 'O')]
кетчуп на банке аджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 22, 'O')]
творожки в глютена;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
угокь рамне в шазлыэа;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 13, 'O'), (14, 21, 'O')]
каэакчи фермерский;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
мукк с отруяби вкусом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O'), (15, 21, 'O')]
Белиду акция глютена;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
дусаша;[(0, 6, 'O')]
шаурма для пецем;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
Луко новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
курица грудка без вкесом;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
йогурт с соьлю глютена;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
эедута сашы лихе;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
Рато акциъ тебе;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 15, 'O')]
санабе риса;[(0, 6, 'O'), (7, 11, 'O')]
макароны в завтрак;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
муэа;[(0, 4, 'B-TYPE')]
помидор по тбе;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 14, 'O')]
рилуки;[(0, 6, 'O')]
салат по семье;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
творожки для чесноком изюмом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 21, 'O'), (22, 28, 'O')]
булочки на собаки;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
фарища хешп сашлу;[(0, 6, 'O'), (7, 11, 'O'), (12, 17, 'O')]
вода из пакетах;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
шара нелури;[(0, 4, 'O'), (5, 11, 'O')]
слоь без изюмом;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
томоео;[(0, 6, 'O')]
риы бедро в шашлыка;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 19, 'O')]
зоам;[(0, 4, 'O')]
кечтуп;[(0, 6, 'B-TYPE')]
атлу дурко;[(0, 4, 'O'), (5, 10, 'O')]
перловка батон в детей;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O')]
рвииша;[(0, 6, 'O')]
кетчуб без собакр;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
хлопяь рамем для всей;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 16, 'O'), (17, 21, 'O')]
вимзса бешазо;[(0, 6, 'O'), (7, 13, 'O')]
колбаса филе без фошек;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 16, 'O'), (17, 22, 'O')]
мука без слью;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
хеви имозт;[(0, 4, 'O'), (5, 10, 'O')]
лхпоья с ъошек бнке;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 19, 'O')]
зорлша нато;[(0, 6, 'O'), (7, 11, 'O')]
йис с завтрак;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]
Шави тбее;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
помидор из шашлыка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
рис разен в пакетах;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 19, 'O')]
хлопья для тебч;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
чяй в ерцем;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
салаюы;[(0, 6, 'B-TYPE')]
соль из лобак вкусбм;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O'), (14, 20, 'O')]
гречка без отруябми;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
хлопья фермерксий с чесноком чесноком;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 19, 'O'), (20, 28, 'O'), (29, 37, 'O')]
кофе с завтак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
курица на всей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
соль из завтрак;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
кабачки батон по сей;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 20, 'O')]
булочки из кошек;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
рис по измюом;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
кабачки из солью;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
Хене акция детей;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 16, 'O')]
имоко нехебе;[(0, 5, 'O'), (6, 12, 'O')]
кабачки на затврак;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
булочкн для солью;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
Душа ряодм;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
йогурт без вкусом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
печенье для банке;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
пелровка без кошек глютена;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O'), (19, 26, 'O')]
йогура грдкс с пакетах;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 14, 'O'), (15, 22, 'O')]
макаршны фемрерский для чесноком;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 23, 'O'), (24, 32, 'O')]
Дуне теше;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
чаъ в семе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
шраи фаяа;[(0, 4, 'O'), (5, 9, 'O')]
хлопья для всей;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
чай грдка без сок;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 17, 'O')]
Радухо новый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
гречка из аджике изюмом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 23, 'O')]
сосиски для затрак;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
печенье по завтрак;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
шаура;[(0, 5, 'B-TYPE')]
жидкость с изюмом;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
макарноы по всей;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
соль на изюмом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
перловка с банке;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
мука детский;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
лапша для детей пакетлх;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O'), (16, 23, 'O')]
овда без солью;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
колбаса для ъошек;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
чай по детей банке;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 18, 'O')]
вира;[(0, 4, 'O')]
жидкость бедро в вком;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 16, 'O'), (17, 21, 'O')]
салтаы по глютена;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
кофе без изьмом тебе;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O'), (16, 20, 'O')]
дбуехе наки иора;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
килу токота;[(0, 4, 'O'), (5, 11, 'O')]
сидкость в вкусом чесноком;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O'), (18, 26, 'O')]
Неша овый;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
кабачки для тебе;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
вода в зватрак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
лала с смье завтрак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O'), (12, 19, 'O')]
Тора сейчас коешк;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 17, 'O')]
шаурма из адьике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
мука для вусом;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
муки в едике;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
перолвка грудка на глютена;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O')]
соль в солью;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
Душа тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
вода без вкусом;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
вода в семье;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
лапша фиел;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
шаурма детский для детец;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 18, 'O'), (19, 24, 'O')]
рис без собаки;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
чнй по изюммо;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
йогуёт без изюмом солью;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O'), (18, 23, 'O')]
вода без аджие;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
мука для детй;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
кабачки с отрбями;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
сосиски для чесноком косек;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O'), (21, 26, 'O')]
перловка на тебе;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
йогурт фцрмерский без кошек;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 21, 'O'), (22, 27, 'O')]
клу ралуви лиса;[(0, 3, 'O'), (4, 10, 'O'), (11, 15, 'O')]
фадд саарви фалу;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
шаурма в пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
сосиски на чесноком;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 19, 'O')]
жидкость на семье;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O')]
зай филе в глютена;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
печеньх без чесноком;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
шаурмэ в солью;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
лапша для кошек банек;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
фалили;[(0, 6, 'O')]
аыр по изюмом всей;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
мкароны фермерский;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
кетчуп нарзка из глтеа;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
лапша в семье чсноком;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O'), (14, 21, 'O')]
салаты с шашэыка;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
мука по вкусом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
идкость с перцем;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
сыр с всей;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
Дунама сейчаб;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
лапа столовый для чесноком;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 17, 'O'), (18, 26, 'O')]
колбаса дезский на шалыка;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 25, 'O')]
Виив тбе паета;[(0, 4, 'B-BRAND'), (5, 8, 'O'), (9, 14, 'O')]
уоль по ьесонком перцец;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O'), (17, 23, 'O')]
хлопвя в коьек;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
каачки столовый для тобак;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 25, 'O')]
водн в вкусом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
перовьа гудка с собаки;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 15, 'O'), (16, 22, 'O')]
творожки с коеш;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O')]
флопья бдеро из отрубями;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 24, 'O')]
гречка без ортубями;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
бекюцу духе;[(0, 6, 'O'), (7, 11, 'O')]
кабачки в кошек;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
Лимо рядом семте;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 16, 'O')]
хлопья для перцем кошек;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O'), (18, 23, 'O')]
буяочик без перцем;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
вода с сбак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
пге без отрубями;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 16, 'O')]
жидкость в собки;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
булочки в перцем;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
Вима новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
Рисара есйчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
кетчуп детский;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
йогурт по аджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
пюре из коше;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 12, 'O')]
кетчуп детский в гслью;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O')]
перловка с аджике;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
пюре в кошек;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
саалты;[(0, 6, 'B-TYPE')]
угвль;[(0, 5, 'B-TYPE')]
кофе филе на глютена;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 12, 'O'), (13, 20, 'O')]
рис феремрский с завртак завтрав;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 16, 'O'), (17, 24, 'O'), (25, 32, 'O')]
булочки грудиа без всей;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 18, 'O'), (19, 23, 'O')]
немаки;[(0, 6, 'O')]
рис из ашшлыка;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
ртс без кошек;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
йкуа щдеро в детей;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
тадви шалу;[(0, 5, 'O'), (6, 10, 'O')]
салаты по ёобаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
ктечуп армен на отрумями;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 24, 'O')]
тлои;[(0, 4, 'O')]
уголь из собат перцем;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O'), (15, 21, 'O')]
макароны детский с собаки;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 25, 'O')]
ивша;[(0, 4, 'O')]
помидо с вкусом;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
хлпя на завтрак;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
гречка без кобак паетах;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
хай детски с завтщак;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE'), (11, 12, 'O'), (13, 20, 'O')]
буочк с отрубями;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]
булочки нарезкь с банке собаки;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O'), (24, 30, 'O')]
сыр по пёрцем;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
Тата тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
кабачки без глютена;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
сосски из завтрак;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
сыр рамён с собак;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 17, 'O')]
лукири;[(0, 6, 'O')]
тосави зосаки;[(0, 6, 'O'), (7, 13, 'O')]
кабачки нарезка на собк;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 23, 'O')]
налифа дури;[(0, 6, 'O'), (7, 11, 'O')]
творожки для собаки;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
етечу на чеснком;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
лихеса нсар;[(0, 6, 'O'), (7, 11, 'O')]
чаа на скусом;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
овда батон из шашлка;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 13, 'O'), (14, 20, 'O')]
тодуех;[(0, 6, 'O')]
чай из завтрак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
голь спагетти в соабки;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 15, 'O'), (16, 22, 'O')]
кетчуп с ерцем;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
Мане тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
творожки на пактах;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
вида детский с зиюом;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O')]
вода без всйе;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
курица на собаик;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
хлопья бедро;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
колбаса с изюмом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
сосиски в собаки всей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O'), (17, 21, 'O')]
Лине аки;[(0, 4, 'B-BRAND'), (5, 8, 'O')]
колбаса спаетти по чесноком;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 27, 'O')]
хера хевико кишахе;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
йоуглт на изюмом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
уголь батон по пакетах всйе;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 14, 'O'), (15, 22, 'O'), (23, 27, 'O')]
йогурт;[(0, 6, 'B-TYPE')]
хета мовине;[(0, 4, 'O'), (5, 11, 'O')]
уголь нарезка с завтрак;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 15, 'O'), (16, 23, 'O')]
мткароны для соью;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]
жидкожть с банек;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
Зтоама новый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
курица на перцем пкрцем;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 23, 'O')]
соищи детский на всей пакетах;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 16, 'O'), (17, 21, 'O'), (22, 29, 'O')]
хене мамо;[(0, 4, 'O'), (5, 9, 'O')]
оль детский из кошек отрубями;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 14, 'O'), (15, 20, 'O'), (21, 29, 'O')]
ширма для джике;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
йогурт с кошек отруяим;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
пюре с банке;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
фтат лунаша неа;[(0, 4, 'O'), (5, 11, 'O'), (12, 15, 'O')]
шалса саик;[(0, 5, 'O'), (6, 10, 'O')]
салты по сммье;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
Фанама акция солью;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
колбаса стяловйы с соабки;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 18, 'O'), (19, 25, 'O')]
Фамо новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
мосака мама ташабе;[(0, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
кабхчки спагетти для семье;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 20, 'O'), (21, 26, 'O')]
Кили есйачс;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
шурма в ъджике;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
офю для серье;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
рис в семье;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
Хебэ тебе завтрка;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 17, 'O')]
кетчуп деский;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
лапаш без пакетах чесноком;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O'), (18, 26, 'O')]
творожки без пакетах;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
хема танъне;[(0, 4, 'O'), (5, 11, 'O')]
уив;[(0, 3, 'O')]
шако;[(0, 4, 'O')]
пюе по банке вей;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 16, 'O')]
рикиар;[(0, 6, 'O')]
жидкотсь детский для отрубяюи собюки;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 20, 'O'), (21, 29, 'O'), (30, 36, 'O')]
йогурт филе для чесноком;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 15, 'O'), (16, 24, 'O')]
лапша с отрубями кошек;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O'), (17, 22, 'O')]
Тама тее;[(0, 4, 'B-BRAND'), (5, 8, 'O')]
Рафали новый банке;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
Безобе новый глютена;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
пюйе бедро без пакетах;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 14, 'O'), (15, 22, 'O')]
соль без семье;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
кохеса тадуеб вишалу;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
пюер для аджие;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
кбачки бедро на собакз солью;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 22, 'O'), (23, 28, 'O')]
пюре столовый;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
лули мави бебмко;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
винене;[(0, 6, 'O')]
пюре на банке;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
ыидкость нарезка с завтрак;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 26, 'O')]
